1915 	 319.29
1916 	 296.83
1917 	 234.35
1918 	 192.35
1919 	 149.36
1920 	 128.95
1921 	 144.35
1922 	 154.12
1923 	 151.41
1924 	 151.11
1925 	 147.37
1926 	 134.48
1927 	 100.17
1928 	 82.26
1929 	 82.26
1930 	 84.40
1931 	 92.55
1932 	 103.18
1933 	 108.77
1934 	 105.24
1935 	 102.68
1936 	 96.04
1937 	 70.88
1938 	 72.23
1939 	 73.27
1940 	 53.96
1941 	 42.53
1942 	 38.44
1943 	 36.21
1944 	 35.59
1945 	 28.27
1946 	 20.04
1947 	 17.52
1948 	 16.26
1949 	 16.42
1950 	 16.26
1951 	 15.07
1952 	 14.75
1953 	 14.64
1954 	 14.56
1955 	 14.62
1956 	 14.40
1957 	 13.91
1958 	 13.54
1959 	 12.98
1960 	 11.89
1961 	 11.78
1962 	 11.65
1963 	 11.51
1964 	 11.36
1965 	 11.06
1966 	 9.65
1967 	 9.28
1968 	 7.78
1969 	 7.26
1970 	 5.56
1971 	 5.21
1972 	 5.05
1973 	 5.11
1974 	 4.60
1975 	 3.95
1976 	 3.57
1977 	 3.36
1978 	 1.30
1979 	 1.30
1980 	 2.60
1981 	 2.72
1982 	 2.63
1983 	 2.61
1984 	 2.57
1985 	 1.75
1986 	 1.63
1987 	 1.39
1988 	 1.34
1989 	 1.29
1990 	 1.26
1991 	 1.25
1992 	 1.26
1993 	 1.29
1994 	 1.39
1995 	 1.37
1996 	 0.90
